,Manufacturer,Category,RAM,Operating System,Operating System Version,Weight,TouchScreen,IPS,ppi,CPU Brand,HDD,SDD,GPU Brand,Price (Rupees)
0,Apple,Ultrabook,8,mac,0,1.37  ,0,1,226.98300468106115,Intel Core i5,0,128,Intel,118455.3898
1,Apple,Ultrabook,8,mac,0,1.34  ,0,0,127.67794013309688,Intel Core i5,0,0,Intel,79484.2748
2,HP,Notebook,8,Other OS/No OS/Linux,0,1.86  ,0,0,141.21199808219862,Intel Core i5,0,256,Intel,50841.5
3,Apple,Ultrabook,16,mac,0,1.83  ,0,1,220.53462386625827,Intel Core i7,0,512,AMD,224361.329
4,Apple,Ultrabook,8,mac,0,1.37  ,0,1,226.98300468106115,Intel Core i5,0,256,Intel,159474.312
5,Acer,Notebook,4,windows,10,2.1  ,0,0,100.45466986113651,AMD Processor,500,0,AMD,35368.0
6,Apple,Ultrabook,16,mac,0,2.04  ,0,1,220.53462386625827,Intel Core i7,0,0,Intel,189216.1474
7,Apple,Ultrabook,8,mac,0,1.34  ,0,0,127.67794013309688,Intel Core i5,0,0,Intel,102452.254
8,Asus,Ultrabook,16,windows,10,1.3  ,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,132187.9
9,Acer,Ultrabook,8,windows,10,1.6  ,0,1,157.3505121487356,Intel Core i5,0,256,Intel,68083.4
10,HP,Notebook,4,Other OS/No OS/Linux,0,1.86  ,0,0,100.45466986113651,Intel Core i5,500,0,Intel,34828.638
11,HP,Notebook,4,Other OS/No OS/Linux,0,1.86  ,0,0,141.21199808219862,Intel Core i3,500,0,Intel,30504.0158
12,Apple,Ultrabook,16,mac,0,1.83  ,0,1,220.53462386625827,Intel Core i7,0,256,AMD,215742.1474
13,Dell,Notebook,4,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i3,0,256,AMD,44112.738
14,Apple,Ultrabook,8,mac,0,0.92  ,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,111621.40800000001
15,Apple,Ultrabook,8,mac,0,1.37  ,0,1,226.98300468106115,Intel Core i5,0,256,Intel,134270.191
16,Dell,Notebook,8,windows,10,2.2  ,0,0,141.21199808219862,Intel Core i7,0,256,AMD,65872.9
17,Apple,Ultrabook,16,mac,0,1.83  ,0,1,220.53462386625827,Intel Core i7,0,512,AMD,252704.36000000002
18,Lenovo,Notebook,8,Other OS/No OS/Linux,0,2.2  ,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,44121.58
